id,question,answer,language,image
1,"What are Varicose Veins ?","Varicose veins are enlarged and unsightly abnormal veins, caused by a weakness in the walls of the veins, and sometimes defective valves cause the veins to enlarge or "bulge". ",e,NULL
2,"What are Spider Veins?","Spider veins are tiny red or purple blood vessels or capillaries that expand in size and become visible on the surface of the skin. Sometimes varicose veins will "feed" the spider veins.",e,NULL
3,"What causes Varicose and Spider Veins?","About 40% of the population suffers from vein problems, the majority of whom are woman. While family history is a strong predictor of vein issues (genetic predisposition), certain occupations that required prolonged standing or sitting, as well as pregnancy, can aggravate the condition. <br/> <br/>The most frequent location of varicose and spider veins is on the legs, but unsightly veins may also appear on the nose, cheeks or breasts. ",e,NULL
4,"How serious are these issues?","ln the early stages varicose veins are not always painful, some people may feel 'heaviness' or have swelling of the legs. However, more advanced cases may result in painful ankle ulcers, staining of the skin and bleeding. <br/><br/>  Varicose and spider veins are not always unhealthy but they are always unsightly. ",e,NULL
5,"Will insurance cover the procedure?","The final determination of whether or not a procedure will be covered lies with the insurance company and not with the doctor. Every insurance plan is different, but more often than not, insurance company will deny coverage stating it is a cosmetic problem.  We do not mislead our patient with false or dubious promises of insurance coverage. <br/><br/>We strongly advise all the patients to call their insurance company and find out their true coverage. ",e,NULL
6,"¿Que son las venas varicosas?","Las venas varicosas son venas con apariencia deformada, alargadas, ensanchadas o  “abultada”. <br/><br/>
Generalmente el problema es causado por una debilidad de las válvulas y estructuras internas de las venas grandes; Estas venas  grandes están conectadas y “alimentan” a las venas de menor tamaño y más superficiales.",s,NULL
7,"¿Que son las venas tipo araña?","Las venas tipo araña, también conocidas como arañas vasculares, son pequeños vasos sanguíneos o capilares rojos o púrpura que se expanden y son visibles en la superficie de la piel. Muchas veces las venas varicosas “alimentan” y causan las arañas vasculares.",s,NULL
8,"¿Que causa las venas varicosas y las venas tipo araña? ","Alrededor del 40% de la población tiene varices, la mayoría son mujeres, y frecuentemente, pero no siempre, existe historia familiar de este problema (predisposición genética). Algunas ocupaciones que requieren poco movimiento y estar mucho tiempo de pie o sentados, pueden agravar la condición. El embarazo también puede precipitarlo.",s,NULL
9,"¿Que tan serios son estos problemas?","En un principio las venas varicosas no causan muchas molestias o dolor, aunque algunos pacientes se quejan de “pesantes” o “hinchazón “ de las piernas. <br/><br/>
Hay que tomar en cuenta que con el tiempo la enfermedad progresa y en algunos casos puede resultar en úlceras dolorosas en los tobillos, manchas de la piel y sangrados. <br/><br/>

Las venas varicosas y las arañas vasculares no siempre son un problema serio para la salud,  pero siempre son feas y antiestéticas.",s,NULL
10,"¿Cual es la cobertura del seguro médico?","La decisión final de cobertura está en manos de la compañía de seguros, no del médico. Cada plan de seguros es distinto y con frecuencia las aseguradoras niegan el pago, ya que consideran el tratamiento un problema cosmético.<br/><br/>
No queremos confundir a nuestros pacientes con promesas falsas de cobertura médica y recomendamos que obtengan información directa de su compañía de seguros.",s,NULL
