id,language,question,answer,image
1,e,"What Sets Us Apart?","ALL examinations and ALL treatments are personally performed by Dr. Ruben Gurvich, a licensed medical doctor–<b><i>not by nurses, assistants or other practitioners.</b></i><br/><br/>
It is a known fact that treatment results are proportional to the skill and expertise of the medical professional performing them. Dr. Gurvich has been treating vein disorders for 25 years, and is a postgraduate Alumni of Baylor College of Medicine in Houston, Texas and the University of Miami Medical School. ",NULL
2,e,"Does the treatment require surgery?","Varicure Vein Center specializes in the treatment of varicose and spider veins <b>WITHOUT SURGERY</b>. We use the most advanced technology, with foam sclerotherapy for the larger veins and microsclerotherapy for the spider veins. <br/><br/>
Abnormal and unsightly veins are injected with a medication called sclerosant. ",NULL
3,e,"Is the treatment painful?","The treatment is virtually pain free for most of our patients, because <b>WE DO NOT USE THE SALINE SOLUTION</b> which is known to be painful. We only use an F.D.A. approved medication that causes reduced irritation and less discomfort. ",NULL
4,e,"Can all types of veins be treated without surgery?","Almost always. However your doctor will inform you in the rare instances that other procedures are necessary. ",NULL
5,e,"Are laser treatments effective for spider veins?","Laser treatments can be painful, don't always work, sometimes result in scaring, and the treated veins tend to grow back quickly. For these reasons we don't recommend them. <br/><br/>

Most experienced vein doctors agree that sclerotherapy is the "Gold Standard" for the treatment of uncomplicated varicose and spider veins. ",NULL
6,e,"Do I need an ultrasound?","An ultrasound (sonogram) is a diagnostic tool that is not always needed. 
Many cases of uncomplicated varicose and spider veins can be diagnosed without the additional expense of this test. <br/><br/>
At Varicure Vein Center we strive to keep the cost of the treatments affordable and will only order this expensive test in specific cases, where we believe that the additional information will guarantee a better outcome. 
AII treatment plans are tailored for your particular situation, using the least invasive and most cost effective technology. ",NULL
7,e,"What is the recovery time?","Since there are no bulky dressings or painful downtime, you can continue most of your normal activities. However, you should try to avoid heavy exercise and swimming on the day of the treatment. ",NULL
8,e,"Will the Veins return?","When treated property most veins will not return. However, as vein abnormalities are mostly hereditary, some people will develop new vein issues in the future. ",NULL
9,e,"What happens to the circulation after the treatment?","Varicose and spider veins are not necessary for normal circulation, therefore, it is possible to eliminate these "bad veins". Consequently, blood will circulate more effectively through the remaining healthy veins. ",NULL
10,s,,"El consultorio médico “Varicure Vein Center” es una clínica con muchos años de experiencia en el tratamiento de problemas relacionados con las venas varicosas y venas tipo araña.<br/><br/>

A continuación vamos a presentar información general y preguntas frecuentes que ayudan a entender el tema de las venas anormales.",NULL
11,s,"¿Cual es la diferencia entre Varicure Vein Center y otras clínicas?","Todas las evaluaciones y todos los tratamientos son hechos personalmente por el Dr. Ruben Gurvich, médico con licencia en los Estados Unidos, con más de 25 años de experiencia en el tratamiento de problemas relacionados a las venas varicosas.

<br>EN VARICURE VEIN CENTER NO PERMITIMOS QUE ENFERMERAS, ASISTENTES U OTROS TÉCNICOS EFECTÚEN NINGÚN TRATAMIENTO.</b>

Es un hecho indisputable que los mejores resultados se obtienen cuando un médico con experiencia y destreza, hace personalmente los tratamientos.<br/><br/>

El Dr. Gurvich  hizo estudios de postgrado en el Colegio Médico Baylor en Houston, Texas y en la Escuela de Medicina de la Universidad de Miami, además es bilingüe y habla Español.",NULL
12,s,"¿En que consiste el tratamiento sin cirugía? ","Varicure Vein Center se especializa en tratamientos que no requieren cirugía. Utilizando tecnología avanzada, las venas varicosas grandes se tratan con espuma esclerosante, derivada de medicamentos aprobados por la F.D.A.. Las arañas vasculares se tratan con micro esclerosis.",NULL
13,s,"¿Es doloroso el tratamiento? ","Para la mayoría de los pacientes el tratamiento es virtualmente sin dolor, debido a que NUNCA USAMOS AGUA SALINA que causa mucho dolor. Siempre utilizamos un medicamento aprobado por la F.D.A. que causa poca irritación y muy poca molestia.",NULL
14,s,"¿Pueden inyectarse venas de cualquier tipo?","Casi siempre si. Sin embargo en algunos casos muy específicos el médico puede recomendar otros procedimientos.",NULL
15,s,"¿Que tan efectivos son los tratamientos con láser para las venas tipo araña?","Los tratamientos con láser generalmente son dolorosos, pueden causar cicatrices y muchas venas regresan en poco tiempo. Por estas razones no lo recomendamos.<br/><br/>

La mayoría de los médicos especialistas en venas están de acuerdo que la escleroterapia es el “estándar de de oro” y hoy en día es el mejor tratamiento para este tipo de venas.",NULL
16,s,"¿Se necesita tener una prueba de ultrasonido?","El ultrasonido (sonograma) es un examen que no siempre es necesario.
Muchos casos de varices, no complicadas, y venas arañas, se pueden diagnosticar sin el costo adicional de esta prueba.<br/><br/>

En Varicure Vein Center siempre tratamos de reducir el costo de los tratamientos y solamente ordenamos este examen, en casos selectos, cuando creemos que esta información adicional permitirá tener mejores resultados.

Todos los planes de tratamiento son individualizados, siempre tomamos en cuenta las necesidades del paciente y recomendamos la tecnología más económica y menos invasiva.",NULL
17,s,"¿Cuanto tarda la recuperación y debo de tener reposo? ","El reposo en cama no es necesario, puede continuar con sus actividades normales. 
La única restricción es evitar el ejercicio pesado y la natación el día del tratamiento.
",NULL
18,s,"¿Como va a circular la sangre si se eliminan las venas varicosas?","Las varices son una carga para el sistema circulatorio. Cuando se elimina el reflujo causado por las “venas malas”, el flujo sanguíneo mejora en las venas sanas y la circulación es más eficiente.",NULL
19,s,"¿Cuando vuelven a salir las venas?","Con un tratamiento apropiado, la mayoría de las venas no regresan, pero siempre hay que tomar en cuenta la predisposición genética y el hecho que algunas personas pueden desarrollar otras venas en el futuro.",NULL
